Feature	Gain	Cover	Frequency
ctrx_quarter	0.223410799864405	0.0190432394588867	0.0146938918648793
mcuentas_saldo	0.0335702585471419	0.0129558374521447	0.018314761399602
mtarjeta_visa_consumo	0.0324438509241249	0.0121212620513129	0.0162719948097948
mcuenta_corriente	0.0256673467410152	0.0065491922745005	0.00971410034981282
mcaja_ahorro	0.0249842162110446	0.00712790854086823	0.0128440045238951
mdescubierto_preacordado	0.0222942862330618	0.00229436871986095	0.00175344771657271
foto_mes	0.01879229369769	0.0155446022950472	0.0165262447286978
cpayroll_trx	0.0181793994958041	0.0091054451737869	0.00414690384969446
ctarjeta_visa	0.0164406334846424	0.000618782548867289	0.000675077370880494
mpayroll	0.0151697369545005	0.0117036572232304	0.00541815344420968
mprestamos_personales	0.0149772604474035	0.00859998060153286	0.00335785237723674
mpasivos_margen	0.0108138042089829	0.00837968286159743	0.0102401346647846
mdescubierto_preacordado_delta1	0.010563242767186	0.00498277423808184	0.00118357720868658
cproductos_delta1	0.0094084789069871	0.00434522458404585	0.00173591323940698
Master_status	0.00927121383908322	0.00207368905618577	0.000876723858286356
numero_de_cliente	0.0087669140114776	0.00925004792796492	0.0165262447286978
mactivos_margen	0.00863843551523032	0.00786157285218749	0.0127387976609007
cliente_edad_lag1	0.00844648396399471	0.00944545697085995	0.0150621158853596
mrentabilidad_annual	0.00828330825925298	0.00837832069738209	0.0116691945537914
mrentabilidad_annual_delta1	0.0081456643378405	0.00652204987714653	0.0125897546049921
cliente_edad	0.00805499857172581	0.00858308230343522	0.0137908662908444
ctrx_quarter_delta1	0.00801823838787282	0.00719132585096555	0.0116341255994599
Visa_status	0.00733363901021928	0.000965691282597112	0.000596172223634722
Master_fechaalta	0.00700374673044534	0.00918698909014965	0.0118357720868658
mcuenta_corriente_lag1	0.00665522476086669	0.00774245741635009	0.0103716432435276
Visa_fechaalta_lag1	0.00653018805774332	0.00419660218910449	0.00978423825847573
Master_Fvencimiento	0.00621532729140806	0.00598173582961563	0.0110028844214938
mprestamos_personales_delta1	0.00618678702529345	0.0087810131394444	0.0032964817071567
Visa_Fvencimiento_lag1	0.00617318542907049	0.00547589930810548	0.0117042635081228
Visa_Fvencimiento	0.00614053385727682	0.00864282755687446	0.011309737771894
Master_Fvencimiento_lag1	0.00570958126257802	0.00463061443363593	0.0108626086041679
mrentabilidad	0.00559056779399605	0.00448808157516467	0.00850422142537765
mcuentas_saldo_delta1	0.00558541455800694	0.00805043612116255	0.0102927380962818
mrentabilidad_annual_lag1	0.00551037665508366	0.00726223445511846	0.00948615214665837
mcaja_ahorro_dolares_delta1	0.00549192081494412	0.00520070033514532	0.00622473939383312
Master_fechaalta_lag1	0.00526246994433696	0.00556432577045776	0.0104417811521905
mprestamos_personales_lag1	0.00517562308287398	0.00240225486679517	0.00143782712758962
chomebanking_trx	0.00516219381775324	0.00442160049962874	0.00859189381120629
Visa_fechaalta	0.00511480159035554	0.00557333592710516	0.00968779863406423
mcaja_ahorro_lag1	0.00500075647655509	0.00549363934602428	0.00980177273564146
mcomisiones_mantenimiento	0.0049706080765675	0.00649893374483129	0.00481321398199209
ctarjeta_visa_trx	0.00495123276219914	0.00718605970431237	0.0114237118734712
mcuenta_corriente_delta1	0.00477919061105894	0.00789266727701116	0.00871463515136638
cproductos	0.00469489540327665	0.00685037904122819	0.00673323923163921
mcaja_ahorro_delta1	0.0046454773395393	0.00698944017026611	0.00764503204425702
Visa_mpagominimo	0.00448856285721907	0.00520572343941866	0.00810092845056593
cliente_antiguedad_lag1	0.00447514473685317	0.00474445016970499	0.00853052314112624
mrentabilidad_delta1	0.00447172403814107	0.00489576834016586	0.0081798335978117
cliente_antiguedad	0.00441709439867378	0.00437109108504675	0.00905655745609805
mactivos_margen_delta1	0.0043912532962493	0.00411109893572678	0.00768886823717134
mtransferencias_recibidas	0.00435638946332191	0.00465020949708733	0.00692611848046221
ccaja_ahorro	0.00431993771303446	0.00358824746795925	0.00298086111817361
mactivos_margen_lag1	0.00415488036790033	0.00727929607586796	0.00794311815607438
Visa_mpagospesos_lag1	0.0040913200732443	0.00571645096039982	0.00762749756709129
Visa_mfinanciacion_limite	0.00407669221573363	0.00444403707265824	0.00634748073399322
Master_mfinanciacion_limite	0.00405115717790793	0.00591367589230389	0.00745215279543402
Visa_mpagominimo_lag1	0.00403898885043277	0.00641610608958254	0.00790804920174293
chomebanking_trx_delta1	0.00392375399329612	0.0063454463906739	0.00722420459227957
mcuentas_saldo_lag1	0.00391170945413691	0.00567688492490388	0.00753982518126266
Visa_mpagospesos_delta1	0.00366775002198401	0.00511986689135346	0.00839901456238329
Visa_fultimo_cierre	0.00361096882438675	0.00394929567943934	0.00662803236864485
mcaja_ahorro_dolares_lag1	0.00355934083124182	0.00420426365851062	0.00640885140407326
ccomisiones_mantenimiento_delta1	0.003555329415477	0.00491541556026833	0.00139399093467531
mrentabilidad_lag1	0.00355175042005784	0.00285315535879952	0.00643515311982185
Visa_msaldototal	0.00348520205327609	0.00235386636245456	0.00398032631662005
ctrx_quarter_lag1	0.00343755130114211	0.00611944080958483	0.00789928196316006
Master_mfinanciacion_limite_lag1	0.00337769266252296	0.00608827519283599	0.00610199805367304
mtransferencias_recibidas_lag1	0.00331308887333247	0.00507782497582454	0.00659296341431339
mcomisiones_otras	0.00322944024149166	0.0035252800756008	0.00569870507886131
mcomisiones	0.00318283701940427	0.00380048308403907	0.00568117060169558
chomebanking_trx_lag1	0.00314483421881214	0.00307909827576622	0.00654035998281621
Visa_Finiciomora	0.0031383844179708	0.00613706191511098	0.00134138750317812
Visa_mconsumospesos_lag1	0.00312165628137446	0.00296278353787922	0.00621597215525026
Visa_mpagospesos	0.00299843053062096	0.00504307037235383	0.00668940303872489
mpasivos_margen_lag1	0.00294929412823504	0.00448206886506088	0.00623350663241599
Visa_cconsumos_lag1	0.00294286594946831	0.00411511804350245	0.00568117060169558
Master_fultimo_cierre	0.00290949823132176	0.00253190579386498	0.0058214464190214
thomebanking	0.00288139315093159	0.00135858710662688	0.00156056846774971
mpasivos_margen_delta1	0.00283474958899599	0.00424022936226133	0.00629487730249603
Visa_mfinanciacion_limite_lag1	0.00283194911202282	0.00238169174544361	0.00502362770798082
ccomisiones_mantenimiento	0.00278874117811069	0.00308183882225043	0.00142905988900676
Visa_mconsumospesos	0.00276843630778741	0.00222176445349029	0.00602309290642726
Master_fultimo_cierre_lag1	0.00271393110936058	0.00410561076163638	0.00580391194185567
Visa_mpagominimo_delta1	0.00268446331083724	0.00336916981295319	0.00505869666231227
mcaja_ahorro_dolares	0.00267552697628213	0.00451047063614999	0.00558473097728409
mcuenta_debitos_automaticos	0.00267212250647541	0.00691614857821788	0.00424334347410596
Visa_fultimo_cierre_lag1	0.00252161460257865	0.00260036075118506	0.00547075687570686
Visa_cconsumos	0.00251007093242096	0.00308964252322472	0.00519020524105523
mcomisiones_mantenimiento_lag1	0.00240778423730125	0.00611010484518575	0.00411183489536301
ccomisiones_otras	0.00239895040171249	0.00451300773362452	0.00419950728119164
Visa_mconsumospesos_delta1	0.00236797414215909	0.00408030861844231	0.00552336030720404
Visa_mconsumosdolares_lag1	0.00236721731120423	0.00334713077258821	0.00504116218514654
tcallcenter	0.00235993259885608	0.000936018335902911	0.00100823243702931
mtransferencias_recibidas_delta1	0.00235058417869383	0.00287326841013001	0.00528664486546672
Visa_mlimitecompra_lag1	0.00234973847931019	0.00327287066579324	0.00379621430637992
mpayroll_lag1	0.00234501747165916	0.00540930455391256	0.00396279183945433
cmobile_app_trx	0.00231806735023265	0.003100398975919	0.00483951569774068
Visa_mlimitecompra	0.00228854228972451	0.00268132287342991	0.00386635221504283
mtransferencias_emitidas	0.00227879882187188	0.00842415603847682	0.00647898931273617
ccomisiones_otras_lag1	0.00226159419479383	0.00419265846101431	0.00443622272292896
mtarjeta_visa_debitos_automaticos_lag1	0.00224530096039563	0.00452146655259258	0.00412060213394587
mtarjeta_visa_consumo_lag1	0.00218920861278566	0.00351549693454233	0.0032000420827452
Visa_msaldototal_lag1	0.00215922966446684	0.00153202335191083	0.00303346454967079
Visa_msaldopesos_lag1	0.00214037602331181	0.00282481054125055	0.00356826610322547
Visa_msaldopesos	0.00208777677120723	0.00297410427223923	0.00492718808356932
cmobile_app_trx_lag1	0.00206262254258981	0.00401236228364645	0.00445375720009469
mtransferencias_emitidas_lag1	0.00205783519521507	0.00300380036582675	0.00493595532215218
