fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220601 222417	0	0	0	1	auto	depthwise	256	0	1	0.250079070833269	0.994321349548303	0	2	0.0140843870581849	199	11904000	93
20220601 223620	0	0	0	1	auto	depthwise	256	0	1	0.0100790145284634	0.444503625736758	0	2	0.0185837586327113	981	12686000	94
20220601 223805	0	0	0	1	auto	depthwise	256	0	1	0.13966783792314	0.644670332255813	6	2	0.0198881460692907	76	12955000	95
20220601 224321	0	0	0	1	auto	depthwise	256	0	1	0.296363129351437	0.998133257171326	10	30	0.0171066066566261	7	11064000	96
20220601 225554	0	0	0	1	auto	depthwise	256	0	1	0.0100086058811505	0.200904924363184	9	24	0.0138623917485882	121	12963000	97
20220601 233052	0	0	0	1	auto	depthwise	256	0	1	0.010095389705502	0.445524155176873	10	30	0.0249385529323299	409	11693000	98
20220601 233139	0	0	0	1	auto	depthwise	256	0	1	0.181772867354068	0.201003354840952	10	2	0.00836266811403676	46	11433000	99
20220602 000314	0	0	0	1	auto	depthwise	256	0	1	0.01017467303722	0.645782318206388	9	14	0.0142042758096916	196	13369000	100
20220602 000918	0	0	0	1	auto	depthwise	256	0	1	0.138285659767664	0.916799625820672	10	13	0.0138438962493744	18	12872000	101
20220602 005410	0	0	0	1	auto	depthwise	256	0	1	0.0100271956661464	0.661370973753241	10	19	0.0175304115337242	368	12872000	102
20220602 010915	0	0	0	1	auto	depthwise	256	0	1	0.0103422285760703	0.200318154927925	0	2	0.0338133734623173	2525	11108000	103
20220602 011039	0	0	0	1	auto	depthwise	256	0	1	0.299957560159919	0.508947247528646	10	2	0.0234941058798492	81	11872000	104
20220602 012645	0	0	0	1	auto	depthwise	256	0	1	0.0100908012290252	0.34262192282976	0	2	0.0288408323243178	1850	11782000	105
20220602 015420	0	0	0	1	auto	depthwise	256	0	1	0.0100763326165149	0.975177860030538	10	3	0.0137346859470672	888	13268000	106
20220602 023217	0	0	0	1	auto	depthwise	256	0	1	0.0101736938730182	0.998606499985119	10	12	0.0106370721863859	122	12916000	107
20220602 030656	0	0	0	1	auto	depthwise	256	0	1	0.0102567113346633	0.995083793224281	10	2	0.0194248152484385	2016	13079000	108
20220602 031920	0	0	0	1	auto	depthwise	256	0	1	0.0113564076847117	0.3759579281969	6	6	0.0148354236524513	242	13618000	109
20220602 034004	0	0	0	1	auto	depthwise	256	0	1	0.0100464659077512	0.955332254363921	10	2	0.0232120538332899	1032	12351000	110
20220602 041528	0	0	0	1	auto	depthwise	256	0	1	0.0100350373469282	0.805106106248707	10	8	0.0195202801701762	404	12825000	111
20220602 045120	0	0	0	1	auto	depthwise	256	0	1	0.0102869303350698	0.943648668094993	7	10	0.0138755314101459	155	13363000	112
20220602 050807	0	0	0	1	auto	depthwise	256	0	1	0.0103451369906454	0.200292976574932	10	30	0.0322673893995398	371	10416000	113
20220602 051605	0	0	0	1	auto	depthwise	256	0	1	0.013368601843429	0.20984851838933	10	2	0.0366654188589364	1169	10785000	114
20220602 051922	0	0	0	1	auto	depthwise	256	0	1	0.122282158822672	0.362004483919563	10	15	0.0139407533155028	28	12503000	115
20220602 054341	0	0	0	1	auto	depthwise	256	0	1	0.0242619586146487	0.905155814219881	10	30	0.0138971750355748	97	13411000	116
20220602 055027	0	0	0	1	auto	depthwise	256	0	1	0.208474230670505	0.99952553789111	10	30	0.0101410051984116	18	11366000	117
20220602 061229	0	0	0	1	auto	depthwise	256	0	1	0.0102215336934689	0.365169864633335	8	12	0.0141433003199806	310	13485000	118
20220602 062745	0	0	0	1	auto	depthwise	256	0	1	0.0103562445954939	0.200107807463503	10	8	0.0499684585554085	685	6991000	119
20220602 062834	0	0	0	1	auto	depthwise	256	0	1	0.283933997877312	0.200314399549763	10	2	0.0217499856160715	62	12140000	120
