fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220521 094034	-0.495551951105018	1402	699	20	5	9857000	88
20220521 094127	-0.815974434795199	2029	1006	9	5	10685000	89
20220521 094216	-0.695969563872908	3112	1556	20	5	9516000	90
20220521 094304	-0.61210077695653	973	486	8	5	10170000	91
20220521 094359	-0.36631105787924	2784	570	20	5	9910000	92
20220521 094450	-0.553362236046467	4001	2000	19	5	7870000	93
20220521 094547	-0.254306836324741	2029	1012	18	5	10685000	94
20220521 094645	-0.695036127337818	2057	1013	19	5	10554000	95
20220521 094710	-0.224259709658381	2278	1139	3	5	8109000	96
20220521 094802	-0.896188567202963	2582	1287	20	5	9567000	97
20220521 094854	-0.241501537057034	3609	826	20	5	9554000	98
20220521 094919	-0.90670732425095	848	422	3	5	8051000	99
20220521 095011	-0.975883571326116	1905	945	14	5	10316000	100
20220521 095104	-0.999865481635548	5090	687	14	5	8907000	101
20220521 095203	-0.757123344740927	1715	829	15	5	10132000	102
20220521 095300	-0.466571872587025	2758	1378	20	5	8843000	103
20220521 095355	-0.999579323333043	3060	1524	14	5	9142000	104
20220521 095455	-0.995698132736295	2092	1009	15	5	10447000	105
20220521 095602	-0.998627407570763	978	487	20	5	10036000	106
20220521 095704	-0.347762156667415	1557	766	20	5	9626000	107
20220521 095728	0.069278181054448	2138	1061	11	5	0	108
20220521 095812	-0.828264048645681	4016	1997	9	5	7870000	109
20220521 095904	-0.835345792281408	2021	1010	17	5	10685000	110
20220521 095952	-0.585675080221724	2027	1009	9	5	10685000	111
20220521 100048	-0.467617738467193	2166	500	16	5	9952000	112
20220521 100138	-0.25413725092033	2181	1088	15	5	10187000	113
20220521 100229	-0.910028509891235	2117	1000	10	5	10438000	114
20220521 100319	-0.61928229987045	2005	1001	8	5	10673000	115
20220521 100411	-0.824909192052561	2000	1000	13	5	10673000	116
20220521 100508	-0.213394724071801	989	493	12	5	9813000	117
20220521 100552	-0.0933937339261338	7998	2000	20	5	7521000	118
20220521 100637	-0.844360560835886	8000	1018	20	5	7521000	119
20220521 100727	-0.371881321847378	2070	1008	12	5	10554000	120
20220521 100824	-0.75074471265246	2110	1054	18	5	10517000	121
20220521 100914	-0.622443209509686	2044	1021	20	5	10560000	122
20220521 101009	-0.26931021662971	1205	597	13	5	10044000	123
20220521 101059	-0.39124710406235	2330	1025	18	5	10333000	124
20220521 101151	-0.340428989169022	2030	1005	11	5	10685000	125
20220521 101244	-0.841367868291491	2021	998	14	5	10673000	126
20220521 101335	-0.465572585915327	1997	996	10	5	10500000	127
