max_depth	min_split	vmin_bucket	ganancia_promedio
5	3000	5	8212000
5	2000	5	8622667
5	1200	5	8619333
5	1000	5	8615333
5	800	5	8606667
5	600	5	8604000
5	400	5	8599333
5	200	5	8599333
5	100	5	8599333
5	50	5	8599333
5	20	5	8600667
5	3000	10	8180667
5	2000	10	8576667
5	1200	10	8840000
5	1000	10	8825333
5	800	10	8804667
5	600	10	8802000
5	400	10	8797333
5	200	10	8797333
5	100	10	8797333
5	50	10	8797333
5	20	10	8798667
5	3000	20	8029333
5	2000	20	8659333
5	1200	20	8843333
5	1000	20	8825333
5	800	20	8816667
5	600	20	8732667
5	400	20	8710000
5	200	20	8710000
5	100	20	8710000
5	50	20	8722667
5	3000	40	8513333
5	2000	40	9078000
5	1200	40	9340000
5	1000	40	9346667
5	800	40	9338000
5	600	40	9414000
5	400	40	9391333
5	200	40	9427333
5	100	40	9430000
5	3000	100	8380000
5	2000	100	9054667
5	1200	100	9344667
5	1000	100	9305333
5	800	100	9208000
5	600	100	9192667
5	400	100	9144000
5	200	100	9140000
5	3000	150	8439333
5	2000	150	9098667
5	1200	150	9417333
5	1000	150	9368000
5	800	150	9270667
5	600	150	9284667
5	400	150	9290000
5	3000	200	8432000
5	2000	200	9133333
5	1200	200	9386000
5	1000	200	9336667
5	800	200	9236000
5	600	200	9302000
5	400	200	9266000
5	3000	300	8441333
5	2000	300	9096667
5	1200	300	9392000
5	1000	300	9318000
5	800	300	9260667
5	600	300	9410000
5	3000	400	8488000
5	2000	400	9143333
5	1200	400	9454000
5	1000	400	9288000
5	800	400	9240667
5	3000	600	8378667
5	2000	600	9147333
5	1200	600	9056000
7	3000	5	8290667
7	2000	5	9280667
7	1200	5	9493333
7	1000	5	9412667
7	800	5	9398000
7	600	5	9446000
7	400	5	9476000
7	200	5	9514000
7	100	5	9529333
7	50	5	9539333
7	20	5	9542000
7	3000	10	7972000
7	2000	10	8888667
7	1200	10	9228000
7	1000	10	9169333
7	800	10	9110667
7	600	10	8983333
7	400	10	9031333
7	200	10	9023333
7	100	10	9115333
7	50	10	9124000
7	20	10	9058667
7	3000	20	7884667
7	2000	20	8620000
7	1200	20	9122000
7	1000	20	9030667
7	800	20	8967333
7	600	20	9072000
7	400	20	9200000
7	200	20	9221333
7	100	20	9263333
7	50	20	9308000
7	3000	40	8154000
7	2000	40	8539333
7	1200	40	8858000
7	1000	40	8798000
7	800	40	8502667
7	600	40	8600667
7	400	40	8741333
7	200	40	8504000
7	100	40	8502000
7	3000	100	8151333
7	2000	100	8596000
7	1200	100	9277333
7	1000	100	8893333
7	800	100	8622000
7	600	100	8570667
7	400	100	8407333
7	200	100	8251333
7	3000	150	8076000
7	2000	150	8534000
7	1200	150	9057333
7	1000	150	8690667
7	800	150	8488000
7	600	150	8449333
7	400	150	8364667
7	3000	200	8170667
7	2000	200	8764000
7	1200	200	9038667
7	1000	200	8689333
7	800	200	8675333
7	600	200	8692000
7	400	200	8562000
7	3000	300	8290667
7	2000	300	9002000
7	1200	300	9151333
7	1000	300	8986000
7	800	300	9102000
7	600	300	9504000
7	3000	400	8338667
7	2000	400	9.00E+06
7	1200	400	9125333
7	1000	400	8746000
7	800	400	8679333
7	3000	600	8301333
7	2000	600	8982667
7	1200	600	9014000
9	3000	5	8010667
9	2000	5	8900000
9	1200	5	9090000
9	1000	5	9009333
9	800	5	8993333
9	600	5	8934667
9	400	5	8898000
9	200	5	8975333
9	100	5	9036667
9	50	5	9072667
9	20	5	9066000
9	3000	10	7853333
9	2000	10	8350667
9	1200	10	8675333
9	1000	10	8578667
9	800	10	8395333
9	600	10	8226667
9	400	10	8197333
9	200	10	8047333
9	100	10	8144667
9	50	10	8151333
9	20	10	8115333
9	3000	20	7784000
9	2000	20	8538000
9	1200	20	9225333
9	1000	20	9074667
9	800	20	8400000
9	600	20	8448667
9	400	20	8530000
9	200	20	8438667
9	100	20	8643333
9	50	20	8736000
9	3000	40	7992000
9	2000	40	8335333
9	1200	40	8550667
9	1000	40	8225333
9	800	40	7598000
9	600	40	7763333
9	400	40	8016000
9	200	40	7570667
9	100	40	7679333
9	3000	100	7962667
9	2000	100	8231333
9	1200	100	8874667
9	1000	100	8342000
9	800	100	7876667
9	600	100	8077333
9	400	100	7374000
9	200	100	6843333
9	3000	150	7958000
9	2000	150	8310667
9	1200	150	8684000
9	1000	150	8344000
9	800	150	8022000
9	600	150	8155333
9	400	150	7714667
9	3000	200	8170667
9	2000	200	8550667
9	1200	200	8740667
9	1000	200	8418000
9	800	200	8264000
9	600	200	8247333
9	400	200	8160000
9	3000	300	8290667
9	2000	300	8957333
9	1200	300	8996667
9	1000	300	8858000
9	800	300	9020667
9	600	300	9445333
9	3000	400	8338667
9	2000	400	8944667
9	1200	400	8960000
9	1000	400	8607333
9	800	400	8491333
9	3000	600	8301333
9	2000	600	8982667
9	1200	600	8934667
15	3000	5	7709333
15	2000	5	8480667
15	1200	5	8502000
15	1000	5	8041333
15	800	5	7589333
15	600	5	7135333
15	400	5	7161333
15	200	5	6602667
15	100	5	6388667
15	50	5	6456000
15	20	5	6345333
15	3000	10	7435333
15	2000	10	7851333
15	1200	10	8033333
15	1000	10	7804000
15	800	10	7582000
15	600	10	6856000
15	400	10	6654667
15	200	10	5839333
15	100	10	5578000
15	50	10	5260000
15	20	10	4753333
15	3000	20	7464667
15	2000	20	8110667
15	1200	20	8527333
15	1000	20	8377333
15	800	20	7691333
15	600	20	7279333
15	400	20	7.00E+06
15	200	20	5990000
15	100	20	6182667
15	50	20	5966667
15	3000	40	7626667
15	2000	40	7903333
15	1200	40	8027333
15	1000	40	7782000
15	800	40	6921333
15	600	40	6972000
15	400	40	6908667
15	200	40	5377333
15	100	40	5059333
15	3000	100	7934667
15	2000	100	8152667
15	1200	100	8716667
15	1000	100	7924000
15	800	100	7412667
15	600	100	7546000
15	400	100	6738667
15	200	100	4837333
15	3000	150	7958000
15	2000	150	8310667
15	1200	150	8632667
15	1000	150	8300000
15	800	150	7998000
15	600	150	8068667
15	400	150	7486667
15	3000	200	8170667
15	2000	200	8550667
15	1200	200	8740667
15	1000	200	8398000
15	800	200	8260667
15	600	200	8118667
15	400	200	7917333
15	3000	300	8290667
15	2000	300	8957333
15	1200	300	8996667
15	1000	300	8858000
15	800	300	8943333
15	600	300	9391333
15	3000	400	8338667
15	2000	400	8944667
15	1200	400	8960000
15	1000	400	8607333
15	800	400	8491333
15	3000	600	8301333
15	2000	600	8982667
15	1200	600	8934667
17	3000	5	7649333
17	2000	5	8364667
17	1200	5	8390667
17	1000	5	7906667
17	800	5	7485333
17	600	5	6819333
17	400	5	6718000
17	200	5	5884667
17	100	5	5383333
17	50	5	5226667
17	20	5	5024000
17	3000	10	7361333
17	2000	10	7762667
17	1200	10	7946000
17	1000	10	7706000
17	800	10	7466667
17	600	10	6718000
17	400	10	6508667
17	200	10	5306667
17	100	10	4746667
17	50	10	4166667
17	20	10	3456000
17	3000	20	7375333
17	2000	20	7999333
17	1200	20	8372667
17	1000	20	8222667
17	800	20	7528667
17	600	20	7116667
17	400	20	6826667
17	200	20	5685333
17	100	20	5976000
17	50	20	5630667
17	3000	40	7580000
17	2000	40	7856667
17	1200	40	7908000
17	1000	40	7662667
17	800	40	6787333
17	600	40	6800667
17	400	40	6737333
17	200	40	5066667
17	100	40	4654000
17	3000	100	7934667
17	2000	100	8152667
17	1200	100	8716667
17	1000	100	7924000
17	800	100	7412667
17	600	100	7546000
17	400	100	6738667
17	200	100	4805333
17	3000	150	7958000
17	2000	150	8310667
17	1200	150	8632667
17	1000	150	8300000
17	800	150	7998000
17	600	150	8068667
17	400	150	7486667
17	3000	200	8170667
17	2000	200	8550667
17	1200	200	8740667
