max_depth	min_split	vmin_bucket	ganancia_promedio
4	1200	6	8314667
4	1000	6	8314667
4	800	6	8306000
4	600	6	8306000
4	200	6	8306000
4	100	6	8306000
4	50	6	8306000
4	20	6	8307333
4	1200	22	8396000
4	1000	22	8378000
4	800	22	8362000
4	600	22	8362000
4	200	22	8354000
4	100	22	8354000
4	50	22	8354000
4	1200	160	8497333
4	1000	160	8448000
4	800	160	8401333
4	600	160	8330000
4	1200	250	8516667
4	1000	250	8467333
4	800	250	8465333
4	600	250	8388667
4	1200	270	8504000
4	1000	270	8454667
4	800	270	8452667
4	600	270	8400667
4	1200	290	8504000
4	1000	290	8454667
4	800	290	8450000
4	600	290	8398000
4	1200	300	8499333
4	1000	300	8450000
4	800	300	8443333
4	600	300	8391333
4	1200	310	8498667
4	1000	310	8442000
4	800	310	8394667
4	1200	330	8546000
4	1000	330	8484667
4	800	330	8437333
4	1200	350	8546000
4	1000	350	8478000
4	800	350	8430667
6	1200	6	9356667
6	1000	6	9318000
6	800	6	9304667
6	600	6	9277333
6	200	6	9283333
6	100	6	9308667
6	50	6	9320000
6	20	6	9351333
6	1200	22	9302667
6	1000	22	9264667
6	800	22	9236667
6	600	22	9178667
6	200	22	9160667
6	100	22	9189333
6	50	22	9152000
6	1200	160	9029333
6	1000	160	8632000
6	800	160	8491333
6	600	160	8595333
6	1200	250	9266667
6	1000	250	8823333
6	800	250	8783333
6	600	250	9086000
6	1200	270	9325333
6	1000	270	8916667
6	800	270	8879333
6	600	270	9117333
6	1200	290	9486000
6	1000	290	9110000
6	800	290	9065333
6	600	290	9478000
6	1200	300	9460667
6	1000	300	9247333
6	800	300	9265333
6	600	300	9574667
6	1200	310	9460000
6	1000	310	9239333
6	800	310	9214000
6	1200	330	9397333
6	1000	330	9176000
6	800	330	9074000
6	1200	350	9397333
6	1000	350	9105333
6	800	350	8978667
8	1200	6	9302667
8	1000	6	9284000
8	800	6	9224000
8	600	6	9156000
8	200	6	9076667
8	100	6	9199333
8	50	6	9264000
8	20	6	9277333
8	1200	22	9025333
8	1000	22	8896667
8	800	22	8448000
8	600	22	8555333
8	200	22	8616000
8	100	22	8746000
8	50	22	8678000
8	1200	160	8812000
8	1000	160	8472000
8	800	160	8175333
8	600	160	8344667
8	1200	250	8829333
8	1000	250	8443333
8	800	250	8566667
8	600	250	8632000
8	1200	270	8892667
8	1000	270	8548000
8	800	270	8765333
8	600	270	8862000
8	1200	290	9039333
8	1000	290	8738000
8	800	290	8956667
8	600	290	9366000
8	1200	300	9106667
8	1000	300	8968000
8	800	300	9130667
8	600	300	9498667
8	1200	310	9203333
8	1000	310	9092667
8	800	310	9274000
8	1200	330	9148000
8	1000	330	8934667
8	800	330	9039333
8	1200	350	9098000
8	1000	350	8814000
8	800	350	8694667
10	1200	6	9106000
10	1000	6	9035333
10	800	6	8592000
10	600	6	8209333
10	200	6	8006000
10	100	6	8127333
10	50	6	8129333
10	20	6	8179333
10	1200	22	8885333
10	1000	22	8776667
10	800	22	8120000
10	600	22	8073333
10	200	22	7781333
10	100	22	7968000
10	50	22	7919333
10	1200	160	8607333
10	1000	160	8276000
10	800	160	7878667
10	600	160	7922000
10	1200	250	8760000
10	1000	250	8282667
10	800	250	8328667
10	600	250	8318667
10	1200	270	8823333
10	1000	270	8387333
10	800	270	8527333
10	600	270	8548667
10	1200	290	8929333
10	1000	290	8628000
10	800	290	8769333
10	600	290	9126667
10	1200	300	8996667
10	1000	300	8858000
10	800	300	8943333
10	600	300	9391333
10	1200	310	9093333
10	1000	310	8982667
10	800	310	9086667
10	1200	330	9038000
10	1000	330	8824667
10	800	330	8752000
10	1200	350	8988000
10	1000	350	8704000
10	800	350	8406667
