max_depth	min_split	vmin_bucket	ganancia_promedio
20	2000	400	8944667
20	1200	400	8960000
20	1000	400	8607333
20	800	400	8491333
20	3000	600	8301333
20	2000	600	8982667
20	1200	600	8934667
22	3000	3	7872667
22	2000	3	8658000
22	1200	3	8262000
22	1000	3	7876000
22	800	3	7838667
22	600	3	7072000
22	400	3	6251333
22	200	3	5203333
22	100	3	4702000
22	3000	5	7579333
22	2000	5	8246000
22	1200	5	8282000
22	1000	5	7762667
22	800	5	7274667
22	600	5	6405333
22	400	5	5980667
22	200	5	4944667
22	100	5	4254000
22	3000	7	7322667
22	2000	7	7865333
22	1200	7	8222000
22	1000	7	7871333
22	800	7	7218000
22	600	7	6792000
22	400	7	6403333
22	200	7	4885333
22	100	7	4085333
22	3000	10	7238000
22	2000	10	7614667
22	1200	10	7801333
22	1000	10	7545333
22	800	10	7272667
22	600	10	6501333
22	400	10	6236667
22	200	10	4801333
22	100	10	4032000
22	3000	20	7258000
22	2000	20	7867333
22	1200	20	8209333
22	1000	20	8059333
22	800	20	7365333
22	600	20	6972667
22	400	20	6665333
22	200	20	5369333
22	100	20	5526667
22	3000	40	7535333
22	2000	40	7812000
22	1200	40	7818000
22	1000	40	7518667
22	800	40	6630667
22	600	40	6658000
22	400	40	6594667
22	200	40	4910000
22	100	40	4482000
22	3000	100	7934667
22	2000	100	8152667
22	1200	100	8716667
22	1000	100	7924000
22	800	100	7392000
22	600	100	7525333
22	400	100	6684667
22	200	100	4727333
22	3000	150	7958000
22	2000	150	8310667
22	1200	150	8632667
22	1000	150	8300000
22	800	150	7998000
22	600	150	8068667
22	400	150	7486667
22	3000	200	8170667
22	2000	200	8550667
22	1200	200	8740667
22	1000	200	8398000
22	800	200	8260667
22	600	200	8118667
22	400	200	7917333
22	3000	300	8290667
22	2000	300	8957333
22	1200	300	8996667
22	1000	300	8858000
22	800	300	8943333
22	600	300	9391333
22	3000	400	8338667
22	2000	400	8944667
22	1200	400	8960000
22	1000	400	8607333
22	800	400	8491333
22	3000	600	8301333
22	2000	600	8982667
22	1200	600	8934667
24	3000	3	7849333
24	2000	3	8615333
24	1200	3	8214000
24	1000	3	7818000
24	800	3	7780667
24	600	3	7165333
24	400	3	5870000
24	200	3	4794667
24	100	3	4422000
24	3000	5	7570000
24	2000	5	8230000
24	1200	5	8305333
24	1000	5	7752000
24	800	5	7264000
24	600	5	6386667
24	400	5	5962000
24	200	5	4929333
24	100	5	4092667
24	3000	7	7313333
24	2000	7	7848000
24	1200	7	8183333
24	1000	7	7832667
24	800	7	7179333
24	600	7	6752000
24	400	7	6350000
24	200	7	4823333
24	100	7	3998000
24	3000	10	7223333
24	2000	10	7574667
24	1200	10	7750000
24	1000	10	7494000
24	800	10	7221333
24	600	10	6450000
24	400	10	6185333
24	200	10	4764667
24	100	10	4022000
24	3000	20	7260667
24	2000	20	7839333
24	1200	20	8177333
24	1000	20	8027333
24	800	20	7329333
24	600	20	6904000
24	400	20	6560000
24	200	20	5190667
24	100	20	5323333
24	3000	40	7526000
24	2000	40	7802667
24	1200	40	7808667
24	1000	40	7509333
24	800	40	6621333
24	600	40	6648667
24	400	40	6585333
24	200	40	4853333
24	100	40	4400667
24	3000	100	7934667
24	2000	100	8152667
24	1200	100	8716667
24	1000	100	7924000
24	800	100	7392000
24	600	100	7525333
24	400	100	6684667
24	200	100	4727333
24	3000	150	7958000
24	2000	150	8310667
24	1200	150	8632667
24	1000	150	8300000
24	800	150	7998000
24	600	150	8068667
24	400	150	7486667
24	3000	200	8170667
24	2000	200	8550667
24	1200	200	8740667
24	1000	200	8398000
24	800	200	8260667
24	600	200	8118667
24	400	200	7917333
24	3000	300	8290667
24	2000	300	8957333
24	1200	300	8996667
24	1000	300	8858000
24	800	300	8943333
24	600	300	9391333
24	3000	400	8338667
24	2000	400	8944667
24	1200	400	8960000
24	1000	400	8607333
24	800	400	8491333
24	3000	600	8301333
24	2000	600	8982667
24	1200	600	8934667
26	3000	3	7844667
26	2000	3	8552667
26	1200	3	8120667
26	1000	3	7715333
26	800	3	7695333
26	600	3	7077333
26	400	3	5870000
26	200	3	4801333
26	100	3	4367333
26	3000	5	7570000
26	2000	5	8172000
26	1200	5	8240667
26	1000	5	7680000
26	800	5	7224667
26	600	5	6334667
26	400	5	5910000
26	200	5	4897333
26	100	5	3836667
26	3000	7	7313333
26	2000	7	7790000
26	1200	7	8104000
26	1000	7	7748667
26	800	7	7095333
26	600	7	6653333
26	400	7	6250667
26	200	7	4513333
26	100	7	3665333
26	3000	10	7215333
26	2000	10	7508667
26	1200	10	7705333
26	1000	10	7446000
26	800	10	7173333
26	600	10	6402000
26	400	10	6137333
26	200	10	4697333
26	100	10	3856667
26	3000	20	7233333
26	2000	20	7812000
26	1200	20	8140667
26	1000	20	7990667
26	800	20	7287333
26	600	20	6849333
26	400	20	6505333
26	200	20	5118667
26	100	20	5300000
26	3000	40	7526000
26	2000	40	7802667
26	1200	40	7808667
26	1000	40	7509333
26	800	40	6621333
26	600	40	6648667
26	400	40	6574667
26	200	40	4842667
26	100	40	4390000
26	3000	100	7934667
26	2000	100	8152667
26	1200	100	8716667
26	1000	100	7924000
26	800	100	7392000
26	600	100	7525333
26	400	100	6684667
26	200	100	4727333
26	3000	150	7958000
26	2000	150	8310667
26	1200	150	8632667
26	1000	150	8300000
26	800	150	7998000
26	600	150	8068667
26	400	150	7486667
26	3000	200	8170667
26	2000	200	8550667
26	1200	200	8740667
26	1000	200	8398000
26	800	200	8260667
26	600	200	8118667
26	400	200	7917333
26	3000	300	8290667
26	2000	300	8957333
26	1200	300	8996667
26	1000	300	8858000
26	800	300	8943333
26	600	300	9391333
26	3000	400	8338667
26	2000	400	8944667
26	1200	400	8960000
26	1000	400	8607333
26	800	400	8491333
26	3000	600	8301333
26	2000	600	8982667
26	1200	600	8934667
