max_depth	min_split	vmin_bucket	ganancia_promedio
6	3000	300	8318000
6	2000	300	9089333
6	1200	300	9460667
6	1000	300	9247333
6	800	300	9265333
6	600	300	9574667
6	3000	400	8364667
6	2000	400	9026000
6	1200	400	9381333
6	1000	400	9022000
6	800	400	8965333
6	3000	600	8301333
6	2000	600	8982667
6	1200	600	9107333
8	3000	5	8226667
8	2000	5	9229333
8	1200	5	9456000
8	1000	5	9375333
8	800	5	9358667
8	600	5	9330000
8	400	5	9288667
8	200	5	9351333
8	100	5	9395333
8	50	5	9420000
8	20	5	9383333
8	3000	10	7858667
8	2000	10	8631333
8	1200	10	8999333
8	1000	10	8951333
8	800	10	8927333
8	600	10	8944667
8	400	10	8910667
8	200	10	8822000
8	100	10	8961333
8	50	10	8973333
8	20	10	8880000
8	3000	20	7830667
8	2000	20	8622000
8	1200	20	9093333
8	1000	20	8958667
8	800	20	8500000
8	600	20	8606667
8	400	20	8607333
8	200	20	8632000
8	100	20	8778000
8	50	20	8854667
8	3000	40	8075333
8	2000	40	8418667
8	1200	40	8770667
8	1000	40	8642000
8	800	40	8005333
8	600	40	8289333
8	400	40	8270667
8	200	40	7906667
8	100	40	8170667
8	3000	100	8112667
8	2000	100	8508000
8	1200	100	9078667
8	1000	100	8546000
8	800	100	8217333
8	600	100	8478667
8	400	100	7878000
8	200	100	7670000
8	3000	150	8076000
8	2000	150	8488000
8	1200	150	8845333
8	1000	150	8505333
8	800	150	8302000
8	600	150	8415333
8	400	150	8310667
8	3000	200	8170667
8	2000	200	8612000
8	1200	200	8772000
8	1000	200	8449333
8	800	200	8317333
8	600	200	8425333
8	400	200	8414000
8	3000	300	8290667
8	2000	300	8957333
8	1200	300	9106667
8	1000	300	8968000
8	800	300	9130667
8	600	300	9498667
8	3000	400	8338667
8	2000	400	8944667
8	1200	400	9070000
8	1000	400	8717333
8	800	400	8742667
8	3000	600	8301333
8	2000	600	8982667
8	1200	600	8934667
10	3000	5	7966667
10	2000	5	8955333
10	1200	5	9118000
10	1000	5	9030000
10	800	5	9001333
10	600	5	8498000
10	400	5	8456000
10	200	5	8512000
10	100	5	8535333
10	50	5	8509333
10	20	5	8472667
10	3000	10	7793333
10	2000	10	8248000
10	1200	10	8842000
10	1000	10	8584667
10	800	10	8336667
10	600	10	8434667
10	400	10	8430667
10	200	10	8214667
10	100	10	8296667
10	50	10	8263333
10	20	10	8259333
10	3000	20	7701333
10	2000	20	8450000
10	1200	20	9104667
10	1000	20	9017333
10	800	20	8284000
10	600	20	8271333
10	400	20	8096667
10	200	20	7886667
10	100	20	8044000
10	50	20	8092000
10	3000	40	7936000
10	2000	40	8254667
10	1200	40	8544000
10	1000	40	8192000
10	800	40	7496667
10	600	40	7700000
10	400	40	7810000
10	200	40	7203333
10	100	40	7178000
10	3000	100	7934667
10	2000	100	8152667
10	1200	100	8774000
10	1000	100	8065333
10	800	100	7444667
10	600	100	7652667
10	400	100	6948667
10	200	100	6063333
10	3000	150	7958000
10	2000	150	8310667
10	1200	150	8684000
10	1000	150	8352667
10	800	150	8030667
10	600	150	8164000
10	400	150	7612000
10	3000	200	8170667
10	2000	200	8550667
10	1200	200	8740667
10	1000	200	8398000
10	800	200	8244000
10	600	200	8164667
10	400	200	8008000
10	3000	300	8290667
10	2000	300	8957333
10	1200	300	8996667
10	1000	300	8858000
10	800	300	8943333
10	600	300	9391333
10	3000	400	8338667
10	2000	400	8944667
10	1200	400	8960000
10	1000	400	8607333
10	800	400	8491333
10	3000	600	8301333
10	2000	600	8982667
10	1200	600	8934667
12	3000	5	7816667
12	2000	5	8648000
12	1200	5	8934000
12	1000	5	8515333
12	800	5	8326667
12	600	5	8234667
12	400	5	8042000
12	200	5	8054667
12	100	5	8067333
12	50	5	8105333
12	20	5	8071333
12	3000	10	7548667
12	2000	10	8045333
12	1200	10	8413333
12	1000	10	8220000
12	800	10	7917333
12	600	10	7738000
12	400	10	7684000
12	200	10	7014667
12	100	10	6940000
12	50	10	6736667
12	20	10	6504000
12	3000	20	7630667
12	2000	20	8260000
12	1200	20	8737333
12	1000	20	8684000
12	800	20	8050000
12	600	20	8104000
12	400	20	7858000
12	200	20	7405333
12	100	20	7668000
12	50	20	7474000
12	3000	40	7797333
12	2000	40	8103333
12	1200	40	8301333
12	1000	40	8077333
12	800	40	7312000
12	600	40	7344667
12	400	40	7548000
12	200	40	6534667
12	100	40	6295333
12	3000	100	7934667
12	2000	100	8152667
12	1200	100	8749333
12	1000	100	7945333
12	800	100	7434000
12	600	100	7567333
12	400	100	6774000
12	200	100	5286000
12	3000	150	7958000
12	2000	150	8310667
12	1200	150	8632667
12	1000	150	8300000
12	800	150	7998000
12	600	150	8131333
12	400	150	7549333
12	3000	200	8170667
12	2000	200	8550667
12	1200	200	8740667
12	1000	200	8398000
12	800	200	8260667
12	600	200	8181333
12	400	200	8052000
12	3000	300	8290667
12	2000	300	8957333
12	1200	300	8996667
12	1000	300	8858000
12	800	300	8943333
12	600	300	9391333
12	3000	400	8338667
12	2000	400	8944667
12	1200	400	8960000
12	1000	400	8607333
12	800	400	8491333
12	3000	600	8301333
12	2000	600	8982667
12	1200	600	8934667
14	3000	5	7713333
14	2000	5	8473333
14	1200	5	8582000
14	1000	5	8146667
14	800	5	7653333
14	600	5	7338000
14	400	5	7094000
14	200	5	6478000
14	100	5	6279333
14	50	5	6317333
14	20	5	6307333
14	3000	10	7468667
14	2000	10	7903333
14	1200	10	8104667
14	1000	10	7892667
14	800	10	7673333
14	600	10	7106667
14	400	10	6985333
14	200	10	6241333
14	100	10	6110000
14	50	10	5903333
14	20	10	5303333
14	3000	20	7469333
14	2000	20	8067333
14	1200	20	8511333
14	1000	20	8361333
14	800	20	7727333
14	600	20	7318667
14	400	20	7196667
14	200	20	6200000
14	100	20	6499333
14	50	20	6134000
14	3000	40	7686667
14	2000	40	7978667
14	1200	40	8139333
14	1000	40	7915333
14	800	40	7074000
14	600	40	7099333
14	400	40	7036000
14	200	40	5704000
14	100	40	5393333
14	3000	100	7934667
14	2000	100	8152667
14	1200	100	8716667
14	1000	100	7924000
14	800	100	7412667
14	600	100	7546000
14	400	100	6763333
14	200	100	4891333
14	3000	150	7958000
14	2000	150	8310667
14	1200	150	8632667
14	1000	150	8300000
14	800	150	7998000
14	600	150	8068667
14	400	150	7486667
14	3000	200	8170667
14	2000	200	8550667
14	1200	200	8740667
14	1000	200	8398000
14	800	200	8260667
14	600	200	8118667
14	400	200	7917333
14	3000	300	8290667
14	2000	300	8957333
14	1200	300	8996667
14	1000	300	8858000
14	800	300	8943333
14	600	300	9391333
14	3000	400	8338667
14	2000	400	8944667
14	1200	400	8960000
14	1000	400	8607333
14	800	400	8491333
14	3000	600	8301333
14	2000	600	8982667
14	1200	600	8934667

