max_depth	min_split	vmin_bucket	ganancia_promedio
4	3000	5	8252667
4	2000	5	8435333
4	1200	5	8435333
4	1000	5	8435333
4	800	5	8426667
4	600	5	8426667
4	400	5	8426667
4	200	5	8426667
4	100	5	8426667
4	50	5	8426667
4	20	5	8428000
4	3000	10	8064000
4	2000	10	8246667
4	1200	10	8246667
4	1000	10	8246667
4	800	10	8238000
4	600	10	8238000
4	400	10	8238000
4	200	10	8238000
4	100	10	8238000
4	50	10	8238000
4	20	10	8239333
4	3000	20	8062667
4	2000	20	8374000
4	1200	20	8294667
4	1000	20	8284667
4	800	20	8276000
4	600	20	8276000
4	400	20	8268000
4	200	20	8268000
4	100	20	8268000
4	50	20	8268000
4	3000	40	8226667
4	2000	40	8538000
4	1200	40	8458667
4	1000	40	8440667
4	800	40	8432000
4	600	40	8360667
4	400	40	8324667
4	200	40	8324667
4	100	40	8324667
4	3000	100	8199333
4	2000	100	8564667
4	1200	100	8485333
4	1000	100	8446000
4	800	100	8399333
4	600	100	8328000
4	400	100	8292000
4	200	100	8292000
4	3000	150	8211333
4	2000	150	8576667
4	1200	150	8497333
4	1000	150	8448000
4	800	150	8401333
4	600	150	8330000
4	400	150	8315333
4	3000	200	8204000
4	2000	200	8569333
4	1200	200	8490000
4	1000	200	8440667
4	800	200	8390667
4	600	200	8319333
4	400	200	8319333
4	3000	300	8213333
4	2000	300	8578667
4	1200	300	8499333
4	1000	300	8450000
4	800	300	8443333
4	600	300	8391333
4	3000	400	8260000
4	2000	400	8625333
4	1200	400	8546000
4	1000	400	8478000
4	800	400	8430667
4	3000	600	8138000
4	2000	600	8503333
4	1200	600	8424000
6	3000	5	8076000
6	2000	5	8866000
6	1200	5	9050000
6	1000	5	9034000
6	800	5	9020667
6	600	5	8993333
6	400	5	9018667
6	200	5	9017333
6	100	5	9042667
6	50	5	9054000
6	20	5	9070667
6	3000	10	8057333
6	2000	10	8824000
6	1200	10	9106000
6	1000	10	9066000
6	800	10	9040667
6	600	10	9013333
6	400	10	9052000
6	200	10	8949333
6	100	10	8974667
6	50	10	8986000
6	20	10	8950000
6	3000	20	7976667
6	2000	20	8755333
6	1200	20	9194000
6	1000	20	9150000
6	800	20	9112000
6	600	20	9056667
6	400	20	9084667
6	200	20	9074000
6	100	20	9092667
6	50	20	9140000
6	3000	40	8202000
6	2000	40	8639333
6	1200	40	8966000
6	1000	40	8998667
6	800	40	8946000
6	600	40	9134667
6	400	40	9152000
6	200	40	9216000
6	100	40	9236667
6	3000	100	8219333
6	2000	100	8726667
6	1200	100	9188000
6	1000	100	8839333
6	800	100	8703333
6	600	100	8754000
6	400	100	8638000
6	200	100	8684000
6	3000	150	8133333
6	2000	150	8625333
6	1200	150	8992000
6	1000	150	8594667
6	800	150	8493333
6	600	150	8597333
6	400	150	8527333
6	3000	200	8225333
6	2000	200	8863333
6	1200	200	9123333
6	1000	200	8743333
6	800	200	8590000
6	600	200	8752000
6	400	200	8640000
