Feature	Gain	Cover	Frequency
ctrx_quarter	0.138222721168443	0.0679462874583113	0.0323383084577114
Visa_mconsumospesos	0.120150801836976	0.0125715280309791	0.0218905472636816
Visa_mpagospesos	0.101335851599316	0.000745343025013882	0.0164179104477612
Visa_msaldopesos	0.0861861323473289	0.00351469691286054	0.0129353233830846
chomebanking_trx	0.0602989213922922	0.0377115570631379	0.0208955223880597
Master_msaldototal	0.0537463090859993	0.000499922379808786	0.00447761194029851
ctarjeta_visa_trx	0.0526981707788204	0.0408122656088319	0.0149253731343284
mrentabilidad_annual	0.0511516364669646	0.00915764802727522	0.0378109452736318
mcaja_ahorro	0.0382217123735631	0.00336567875835442	0.0129353233830846
mtarjeta_visa_consumo	0.0356542804513135	0.0254506149022149	0.0134328358208955
mprestamos_personales	0.0261115314157084	0.0131705856367226	0.0129353233830846
Visa_mpagominimo	0.0242366277414705	0.00603385837935978	0.0104477611940299
mpayroll	0.0238999065369001	0.146846575940558	0.0388059701492537
mtransferencias_recibidas	0.0200451648466561	0.016153555335839	0.0134328358208955
Visa_mpagado	0.0179421423432678	0.00899307430296595	0.00796019900497512
mcomisiones	0.0167569885896907	0.00504456618196002	0.0169154228855721
Master_mfinanciacion_limite	0.0111565918137779	0.0112127700297143	0.0243781094527363
mtarjeta_visa_debitos_automaticos	0.0107238147702207	0.0275131993739514	0.0159203980099502
Visa_msaldototal	0.0102353964291459	0.0136554779727351	0.0144278606965174
Master_Fvencimiento	0.00948666995534136	0.0139543551233583	0.0308457711442786
numero_de_cliente	0.00926184378328468	0.0151104072332559	0.0378109452736318
cextraccion_autoservicio	0.00838140783155155	0.00210437429980229	0.00447761194029851
Visa_Fvencimiento	0.00759799769002193	0.0105645862528493	0.0293532338308458
ctarjeta_visa_debitos_automaticos	0.00665833641554577	0.000462231654596561	0.00298507462686567
mcaja_ahorro_dolares	0.00573556398335356	0.0149134400858836	0.0139303482587065
mtarjeta_visa_descuentos	0.00546841173749995	0.00773252660186371	0.00845771144278607
mcuentas_saldo	0.00519176205875451	0.0165430331700454	0.0298507462686567
mttarjeta_master_debitos_automaticos	0.00484016195581356	0.00149642479402271	0.00348258706467662
Master_fechaalta	0.00401239920948264	0.00990870877524377	0.0248756218905473
Visa_cconsumos	0.00295003443372948	0.00320438431632798	0.00746268656716418
cliente_antiguedad	0.00266853557943676	0.0075473522580854	0.0199004975124378
mrentabilidad	0.00255307502887983	0.0122938190679124	0.0263681592039801
mautoservicio	0.00224992399328334	0.00311815600912187	0.0109452736318408
Visa_msaldodolares	0.00207103243585037	0.00436239138297109	0.00646766169154229
cproductos	0.00183838385430413	0.00523161139832275	0.00895522388059702
mactivos_margen	0.00168854144922932	0.030868935180256	0.0238805970149254
mpasivos_margen	0.00161931214679499	0.00780336750758886	0.0194029850746269
cpayroll_trx	0.00159649954147143	0.0366500786134354	0.00945273631840796
mpagomiscuentas	0.00136748589866964	0.0104701597399361	0.00796019900497512
mcuenta_debitos_automaticos	0.00134054279103973	0.022339353794303	0.0119402985074627
mcuenta_corriente	0.00123832921048614	0.0279066501847697	0.0288557213930348
cliente_edad	0.000913246609039862	0.00668330341864127	0.0213930348258707
mcomisiones_otras	0.000900213667107422	0.00833599862606481	0.00945273631840796
Master_mpagosdolares	0.000842147488979468	0.00687970299792617	0.0054726368159204
Master_mpagospesos	0.000651269156306575	0.0124718042159168	0.0099502487562189
mtransferencias_emitidas	0.000648093686768945	0.00137151777271147	0.00895522388059702
ccheques_depositados	0.00063177374549201	0.00484635879321151	0.00248756218905473
ccomisiones_otras	0.000622902146186223	0.0285699901316726	0.00945273631840796
ctarjeta_visa_descuentos	0.000530094486264624	0.0133964777355126	0.00597014925373134
Master_msaldodolares	0.000496358016863007	0.00430029523000014	0.00348258706467662
Visa_fechaalta	0.000486993216321126	0.0103615860669182	0.0233830845771144
ccajas_trx	0.00048500313369354	8.78679483475203e-06	0.000497512437810945
mcajeros_propios_descuentos	0.000398627732166724	0.00144002534296616	0.00348258706467662
Master_msaldopesos	0.000268507669891561	0.00828039797453869	0.00597014925373134
cpagomiscuentas	0.000242602821086972	0.0019195152716281	0.00447761194029851
Visa_mfinanciacion_limite	0.000224107954776926	0.00977556150614492	0.0119402985074627
cprestamos_personales	0.000216050653507649	0.00115613619405868	0.00248756218905473
cinversion2	0.000207639605531706	8.40841610981055e-06	0.000497512437810945
mcheques_depositados	0.000204160248668909	0.00114028632969168	0.00298507462686567
Master_mconsumospesos	0.000197410544674626	0.000752364052465574	0.00199004975124378
