fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220612 001057	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.299912807908926	0.569758049513481	7991	683	0.0131234948414167	12766000	99
20220612 001113	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	69	TRUE	0.0901130837940619	0.307766033181273	8000	46	0.0161084005003327	13077000	100
20220612 001124	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	27	TRUE	0.17855624799007	0.646687626002963	4292	1024	0.0157640433881007	13385000	101
20220612 001138	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	34	TRUE	0.150328617340269	0.359027433383119	4288	694	0.0158053763610314	12869000	102
20220612 001147	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	21	TRUE	0.236269556013334	0.746093776945853	5434	1024	0.0134149806337047	12661000	103
20220612 001158	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	0.233651250188292	0.656080062891369	2965	1024	0.0161207889977295	12729000	104
20220612 001233	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	226	TRUE	0.0172025895657331	0.742460743343306	1449	16	0.0158411239497389	13449000	105
20220612 001244	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	39	TRUE	0.160003694010908	0.998198315244892	4453	67	0.0158164137370064	12960000	106
20220612 001343	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	316	TRUE	0.0189778328558997	0.563981697456852	7724	1024	0.0159311062268498	13472000	107
20220612 001351	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	14	TRUE	0.258673592136561	0.640246711285158	7990	1024	0.0247657800050025	12001000	108
20220612 001400	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	37	TRUE	0.214545783949512	0.999710935416835	854	16	0.0159104546659063	11409000	109
20220612 001508	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	599	TRUE	0.0108597624035238	0.958258802923412	7997	905	0.0162140467749721	12983000	110
20220612 001517	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	20	TRUE	0.29995931688289	0.729384703729784	4435	1023	0.0246398735449398	11568000	111
20220612 001634	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	574	TRUE	0.0113423075147482	0.998809121931368	4278	277	0.0163720663100837	13174000	112
20220612 001831	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	827	TRUE	0.0102729958723415	0.331470569414362	7998	29	0.0477912823548146	7881000	113
20220612 001932	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	382	TRUE	0.0231595794484516	0.367880805443478	4344	807	0.015988843773082	13945000	114
20220612 002013	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	208	TRUE	0.0268591533710287	0.579129540073447	5499	906	0.0161853005588483	13443000	115
20220612 002028	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	94	TRUE	0.0677040139158693	0.999971758942442	7194	28	0.0156021042367166	13114000	116
20220612 002039	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	47	TRUE	0.253214845170119	0.220701190686339	8000	275	0.0083451178813863	11141000	117
20220612 002048	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	17	TRUE	0.299885008981949	0.733316112028446	5247	54	0.0153299216147934	12593000	118
20220612 002102	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	107	TRUE	0.170307690716682	0.984922875175418	7151	1024	0.0162612145789994	12902000	119
20220612 002114	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	42	TRUE	0.169156449423152	0.291162203746875	7999	320	0.0159985236493763	13316000	120
