fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220525 202236	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	377	TRUE	0.0104488241538587	0.489003495152039	2473	1010	0.0143117413329755	13672000	46
20220525 202247	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	0.299897910376304	0.996512524206151	2042	1023	0.0147522261164871	11481000	47
20220525 202324	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	123	TRUE	0.054496570793138	0.402123888177653	5239	16	0.0145536905198021	13648000	48
20220525 202334	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.189099435171684	0.200347065127444	5567	17	0.0174558728187224	13040000	49
20220525 202448	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	642	TRUE	0.0101013025512411	0.656766529510016	5654	1016	0.0145332399134286	13273000	50
20220525 202627	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	602	TRUE	0.0103316936407109	0.495830812408488	2787	16	0.0143674158243993	13671000	51
20220525 202840	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	690	TRUE	0.0100734115777338	0.520801854049916	2425	511	0.0258588261198062	12365000	52
20220525 202852	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	55	TRUE	0.214998876191784	0.224944276661124	8000	321	0.0139636908817963	12988000	53
20220525 203027	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	666	TRUE	0.0100902203539567	0.751706985215907	2235	861	0.0145658462846926	13547000	54
20220525 203228	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	618	TRUE	0.0100571764730885	0.534039638690235	2792	602	0.0153140830185985	13703000	55
20220525 203429	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	836	TRUE	0.0104021054976453	0.232780173765867	2272	636	0.0202100917811834	13241000	56
20220525 203509	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	259	TRUE	0.0323285275344039	0.61559070707771	3058	931	0.0156345092772735	13456000	57
20220525 203518	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	35	TRUE	0.177592759453562	0.945770562809517	7023	468	0.0154915228015567	13029000	58
20220525 203819	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	150	TRUE	0.010415530834198	0.272126837900952	105	1002	0.015159048882498	10744000	59
20220525 203906	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	38	TRUE	0.0102863911569156	0.247078255517262	7512	80	0.00834919352383016	11163000	60
20220525 204047	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	429	TRUE	0.0100320321170714	0.551263871338308	2400	347	0.0157810191848776	13668000	61
20220525 204104	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	75	TRUE	0.124458909732922	0.489292896601465	3927	17	0.0151563496602937	13173000	62
20220525 204116	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	47	TRUE	0.123773810655557	0.200437081723652	7595	239	0.0223633810761306	12545000	63
20220525 204311	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	643	TRUE	0.0109673398951746	0.568824041662217	5826	26	0.0152998056922994	13749000	64
20220525 204326	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.278119451561745	0.219118560705134	7709	1000	0.0192579236706915	12661000	65
