Feature	Gain	Cover	Frequency
ctrx_quarter	0.124961337863258	0.0244745684452685	0.0348539966571625
mpasivos_margen	0.0366987463173777	0.0271511455154845	0.0320027529249828
cliente_edad	0.0309644454038423	0.0552726494566684	0.0429898731688133
mcuentas_saldo	0.0304232314499102	0.0287195534653278	0.0315234490217284
mrentabilidad_annual	0.0303043605762868	0.0369871270187407	0.0337724904139219
cpayroll_trx	0.0295416969366772	0.00229237314485449	0.000995477337528267
mcaja_ahorro	0.0272781217596634	0.0189434187822452	0.029667682627077
mtarjeta_visa_consumo	0.0271122820140091	0.0083209205948182	0.0114172647723921
Visa_Fvencimiento	0.0264167529893092	0.0316696996413241	0.0354561989971488
cliente_antiguedad	0.0258814938234706	0.0337890814296964	0.0338462294759611
mactivos_margen	0.0257643880416747	0.0238160015121578	0.0250344115622849
Master_fechaalta	0.0253644529412184	0.0242525665607249	0.0309458263690886
mpayroll	0.0251937804970631	0.00648690134946359	0.00296185232523842
numero_de_cliente	0.0250686880617982	0.0455253019408398	0.0387252974142169
Master_Fvencimiento	0.0249945655018093	0.0320530597522407	0.0323960279225248
mcuenta_corriente	0.0245035416767378	0.0349708303475715	0.0293235670042277
chomebanking_trx	0.0227761055036162	0.0191287162064521	0.0280822927932357
Visa_fechaalta	0.0226424020088608	0.0257404463092205	0.0287951037262806
Master_mfinanciacion_limite	0.0194744926977273	0.0215884435340445	0.0266935404581654
mrentabilidad	0.0183524062486873	0.0208129075945631	0.0218636318946023
Visa_mfinanciacion_limite	0.0171267451384052	0.0206725754390504	0.0228591092321306
mcomisiones_otras	0.0162607822570066	0.0127814200519704	0.0202413725297414
mcomisiones	0.0161559973302937	0.0135684710932357	0.0203151115917806
Visa_mpagospesos	0.0143796797618815	0.012765886702277	0.0187174319142661
Master_mlimitecompra	0.0134326959164517	0.0163768270822186	0.0156449709959689
ctarjeta_visa_trx	0.0124736368825561	0.00874748318322292	0.0111837577426015
Visa_mlimitecompra	0.0124667744122102	0.0177363748088096	0.0175621866089863
mcaja_ahorro_dolares	0.012068337796008	0.0146472599687001	0.0161980139612624
ccomisiones_otras	0.011613210384861	0.0113217531836536	0.0148952905319044
mtransferencias_recibidas	0.0112386997875316	0.0123402055094754	0.0171074623930784
mprestamos_personales	0.0111388759794485	0.0135650823297276	0.00454724215907974
Visa_mconsumospesos	0.0110533790171349	0.00955663781762164	0.0156818405269885
Visa_msaldopesos	0.0110279036791632	0.0139205219888535	0.0142930881919182
Visa_mpagominimo	0.0109647897044806	0.0086222521940833	0.013432799134795
Visa_msaldototal	0.01070420643899	0.00761039947198144	0.0122652639858421
cproductos	0.00833466817830113	0.0102999813845843	0.0111223085242356
Visa_cconsumos	0.00775857377342164	0.00630633210473461	0.0103111788418051
mtransferencias_emitidas	0.00768132886729658	0.0135302581017169	0.011282076491987
Visa_mconsumototal	0.00704972446482085	0.0045858842941586	0.00847999213450005
mcomisiones_mantenimiento	0.00697167414589288	0.010049086635779	0.00793923901287976
thomebanking	0.00678098286149121	0.00476013168341565	0.0061817913676138
ctransferencias_recibidas	0.00659846887996189	0.00683509078106653	0.00830793432307541
mtarjeta_visa_debitos_automaticos	0.00657439882694319	0.00551659870829601	0.00793923901287976
mautoservicio	0.00554427312790951	0.00748655663687633	0.00921738275489136
cprestamos_personales	0.00543304158602898	0.00803617696650115	0.00247025857831088
ctransferencias_emitidas	0.00541112509272585	0.00969467458645028	0.00612034214924786
ctarjeta_debito	0.00451185394530974	0.00923788676428123	0.00673483433290729
mpagomiscuentas	0.00422741331877993	0.00457304504375049	0.00485448825090945
cmobile_app_trx	0.00412509117946899	0.0025376283710931	0.00430144528561597
mcuenta_debitos_automaticos	0.00398169863833426	0.00626176789746395	0.00548127027824206
ctarjeta_debito_trx	0.00372912449317263	0.00590256836089177	0.00657506636515584
Master_fultimo_cierre	0.00370006516426313	0.00496483155500359	0.00498967653131452
Master_msaldototal	0.00366857364008929	0.00334615469550157	0.00363779372726379
ccomisiones_mantenimiento	0.00365804865648736	0.0046899071787023	0.00288811326319929
